mode,setting,Web_mean,Web_std,BruteForce_mean,BruteForce_std,Spoofing_mean,Spoofing_std,Benign_mean,Benign_std
dirichlet_01,FedAvg α=0.1,0.02887681821121038,0.03418784112310056,0.0,0.0,0.00026743688489516476,0.000463214272456375,0.0,0.0
dirichlet_03,FedAvg α=0.3,0.09005817880211664,0.003437672707710871,0.23961936463209055,0.023952004706632342,0.23761739994123185,0.01508465032541087,0.7154018840294437,0.0011536835591389309
iid,FedAvg IID,0.0420673673370354,0.03643198780483031,0.33900346245656854,0.002874607573619838,0.684553441144295,0.002295501465666866,0.7973490312668673,0.001196981542526604
