mode,setting,seed,round,accuracy,f1_macro,f1_weighted
iid,IID,3407,2,0.8087722254912603,0.5569611471922569,0.7795188726534031
iid,IID,3407,3,0.8139747566788351,0.5782300657175042,0.7895286874185599
iid,IID,3407,4,0.8172268147445675,0.590794964595299,0.7956346358159299
iid,IID,3407,5,0.8192448903031445,0.596673910960421,0.7992540937410886
iid,IID,3407,6,0.8208035549360252,0.6016609092036524,0.8024059914977354
iid,IID,3407,7,0.8223736453328611,0.6062914516494304,0.804708854809895
iid,IID,3407,8,0.8234076769708014,0.6085066662745084,0.8062341084608002
iid,IID,3407,9,0.8240303811063567,0.6100417459898623,0.8069638621382176
iid,IID,3407,10,0.8245578705422858,0.6119874572683087,0.8080037917929005
iid,IID,3407,11,0.8249868127641018,0.6123665730043732,0.8081639130454555
iid,IID,3407,12,0.8254019488544719,0.6134744932743978,0.8090081635018171
iid,IID,3407,13,0.8258194653123327,0.6138767450262246,0.8093488562439843
iid,IID,3407,14,0.8262179388302684,0.6149964286178787,0.8100095213977646
iid,IID,3407,15,0.8264521669913488,0.6152587809255519,0.8101428421559989
iid,IID,3407,16,0.8268154110704227,0.6161821371532241,0.8109585115835456
iid,IID,3407,17,0.827063921436447,0.6160372206767384,0.8105165986820219
iid,IID,3407,18,0.8273124318024714,0.6160292768002913,0.8103731335437202
iid,IID,3407,19,0.8276647261910883,0.6166521342583744,0.8113444516346789
iid,IID,3407,20,0.8277418500977854,0.6168835052359405,0.8111900155967247
dirichlet_03,$\alpha=0.3$,123,1,0.6361470229219868,0.23476525320023503,0.5117672102184505
dirichlet_03,$\alpha=0.3$,123,2,0.7227405075705208,0.36957391320411037,0.6551556774710996
dirichlet_03,$\alpha=0.3$,123,3,0.7449217239954373,0.39371410720150246,0.695396027034203
dirichlet_03,$\alpha=0.3$,123,4,0.7784020688249935,0.4268802132851983,0.7268354320691794
dirichlet_03,$\alpha=0.3$,123,5,0.7861292177731567,0.4376848843913117,0.7372758849117768
dirichlet_03,$\alpha=0.3$,123,6,0.7893246230926115,0.44765149460816456,0.745019993094291
dirichlet_03,$\alpha=0.3$,123,7,0.7922572358410981,0.45770654616173667,0.7526124294394992
dirichlet_03,$\alpha=0.3$,123,8,0.7938701728527657,0.4649733350529088,0.7558132139732342
dirichlet_03,$\alpha=0.3$,123,9,0.7953845626503202,0.4743452391326352,0.7588169391387534
dirichlet_03,$\alpha=0.3$,123,10,0.7953821822828295,0.47964580716169025,0.7600451986148651
dirichlet_03,$\alpha=0.3$,123,11,0.7953012497881473,0.48770868603365436,0.7634346593490271
dirichlet_03,$\alpha=0.3$,123,12,0.7961843661271801,0.5038090210071147,0.7710628395893073
dirichlet_03,$\alpha=0.3$,123,13,0.7954621626305155,0.5122575220509828,0.7729427021027888
dirichlet_03,$\alpha=0.3$,123,14,0.797190785502229,0.5190086149896209,0.7760745774181985
dirichlet_03,$\alpha=0.3$,123,15,0.797874427045545,0.523235857025018,0.7772141085171503
dirichlet_03,$\alpha=0.3$,123,16,0.7994792708077444,0.520091584120854,0.7711789156713625
dirichlet_03,$\alpha=0.3$,123,17,0.799652561561064,0.5282965188511708,0.7789738831924236
dirichlet_03,$\alpha=0.3$,123,18,0.8005037809757222,0.526654515628485,0.7753267658591181
dirichlet_03,$\alpha=0.3$,123,19,0.8005099699311978,0.5301008969267392,0.7771509603298927
dirichlet_03,$\alpha=0.3$,123,20,0.8011983722094952,0.5320724738837974,0.7795597067238599
dirichlet_03,$\alpha=0.3$,2026,1,0.6404616770355475,0.24593134280680207,0.524399339832939
dirichlet_03,$\alpha=0.3$,2026,2,0.6489967227100388,0.2645297696478719,0.544395587572015
dirichlet_03,$\alpha=0.3$,2026,3,0.7439938567475801,0.3942534209046316,0.6975238299270151
dirichlet_03,$\alpha=0.3$,2026,4,0.7840340183078824,0.4323062175702324,0.7380685679183333
dirichlet_03,$\alpha=0.3$,2026,5,0.7885619533486058,0.44293174143692976,0.7456775927917255
dirichlet_03,$\alpha=0.3$,2026,6,0.7907966423488324,0.45672858780430103,0.748539636072112
dirichlet_03,$\alpha=0.3$,2026,7,0.794598565304906,0.4669075611716012,0.7551874687725814
dirichlet_03,$\alpha=0.3$,2026,8,0.795387419091309,0.4696538405513833,0.7560251875658534
dirichlet_03,$\alpha=0.3$,2026,9,0.7974531019996991,0.4740258216783123,0.7616170388803059
dirichlet_03,$\alpha=0.3$,2026,10,0.7988627556276648,0.48032638544286066,0.7666010123524167
dirichlet_03,$\alpha=0.3$,2026,11,0.799688743146922,0.4856047979391808,0.7676332537612253
dirichlet_03,$\alpha=0.3$,2026,12,0.7999791479807818,0.4881236206288454,0.7683351225722325
dirichlet_03,$\alpha=0.3$,2026,13,0.7984528563457741,0.49052399749377396,0.7635804875327324
dirichlet_03,$\alpha=0.3$,2026,14,0.7988808464205938,0.5000476676947134,0.7623778226548187
dirichlet_03,$\alpha=0.3$,2026,15,0.7988061028813872,0.506344819885777,0.7628268261006547
dirichlet_03,$\alpha=0.3$,2026,16,0.7975949719021421,0.5091124324144811,0.7582152139376236
dirichlet_03,$\alpha=0.3$,2026,17,0.7986613765379554,0.5143640235926428,0.7612516523418958
dirichlet_03,$\alpha=0.3$,2026,18,0.7987565912375816,0.5168977947249347,0.7599912762068415
dirichlet_03,$\alpha=0.3$,2026,19,0.7961043857794942,0.5143620613131825,0.7533872249013932
dirichlet_03,$\alpha=0.3$,2026,20,0.7955949871364941,0.515233485329906,0.7517120329881855
dirichlet_03,$\alpha=0.3$,3407,1,0.6416623343978337,0.2510060589228924,0.5148710205152243
dirichlet_03,$\alpha=0.3$,3407,2,0.7270808696529805,0.38039775794992453,0.6729447117633977
dirichlet_03,$\alpha=0.3$,3407,3,0.746909330850134,0.4048303377582857,0.70845594979145
