mode,setting,round,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
dirichlet_01,$\alpha=0.1$,1,0.6652094056888879,0.039306132178294435,0.23675861197275697,0.05516113218272319,0.5878910529160771,0.07407387839246095
dirichlet_01,$\alpha=0.1$,2,0.770848528012482,0.005387651597712516,0.35468359982059666,0.021368039576025056,0.7237030399085419,0.011969390413890026
dirichlet_01,$\alpha=0.1$,3,0.7638740512648639,0.0034933902297835063,0.35330385077592474,0.0019645311643833093,0.7257183287969587,0.011817278212489651
dirichlet_01,$\alpha=0.1$,4,0.7551030318264655,0.00999102117794407,0.34684729396527775,0.010805400024868675,0.7189464565061413,0.014980386737227696
dirichlet_01,$\alpha=0.1$,5,0.757871875291595,0.00469643378722649,0.34860030367004224,0.0126069024870791,0.7209065514390801,0.014995946008471334
dirichlet_01,$\alpha=0.1$,6,0.7589643052786395,0.005233821182279996,0.35143056106693743,0.011491506929635607,0.7248011394142551,0.012983299937141613
dirichlet_01,$\alpha=0.1$,7,0.7594660867456695,0.009146579280734344,0.3537516256037812,0.009023048455056075,0.7267962557403918,0.007742190112208666
dirichlet_01,$\alpha=0.1$,8,0.7600372162522606,0.006607992664185769,0.3520942223413484,0.012480913188709218,0.7259685762077362,0.012452055321031077
dirichlet_01,$\alpha=0.1$,9,0.7651051773310303,0.007085362996812316,0.3527848597215977,0.010414091940380411,0.7282994344956814,0.009262385042408406
dirichlet_01,$\alpha=0.1$,10,0.7651458022695375,0.0051631963195355795,0.34912713471074935,0.01324241703343423,0.7237895035322089,0.014650295983210741
dirichlet_01,$\alpha=0.1$,11,0.771510587557216,0.005502211609333198,0.35582127586089723,0.00974507965378193,0.7335787269022896,0.011513812652310359
dirichlet_01,$\alpha=0.1$,12,0.7709784960774718,0.003539103050585226,0.35119963293074313,0.005857583781995632,0.7282274029993419,0.006306896762259331
dirichlet_01,$\alpha=0.1$,13,0.7703419858104708,0.0021969304008239237,0.35057985148341597,0.006401691893693003,0.7271842677252032,0.006808297794042377
dirichlet_01,$\alpha=0.1$,14,0.7690307207054521,0.003952317462128257,0.34617676783056606,0.00594677411584234,0.7211829066822002,0.009876957782307214
dirichlet_01,$\alpha=0.1$,15,0.7691080033033154,0.0022912725220837313,0.3456165563675659,0.0035426670238598705,0.720431918382468,0.005927394811644711
dirichlet_01,$\alpha=0.1$,16,0.7700695130783738,0.0015224318610660725,0.34642326798199613,0.0030886578475424185,0.723258578938656,0.0030333065384750054
dirichlet_01,$\alpha=0.1$,17,0.7681258636766711,0.003191533540798292,0.3429202498732827,0.006365676464221063,0.7171433335794016,0.010220414404227723
dirichlet_01,$\alpha=0.1$,18,0.7680760346505334,0.0032790798309930928,0.34675974729024245,0.0049947747760587325,0.7190367275058377,0.012142375760519165
