mode,setting,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_macro_count,f1_weighted_mean,f1_weighted_std,f1_weighted_min,f1_weighted_max,f1_weighted_count
dirichlet_01,FedAvg α=0.1,0.7672624489877208,0.0030036587940758465,0.7653218936018324,0.7707222346133604,3,0.34165930951927215,0.005893288906325347,0.33508941387599617,0.34647990299038955,3,0.7132222030214912,0.008576013486657985,0.7082175293002629,0.7231247383950762,3
dirichlet_03,FedAvg α=0.3,0.7982776926267227,0.0030708048102731445,0.7959929360197533,0.8017684230371068,3,0.5253642557193277,0.008280460696271665,0.5173840252047404,0.533915398277903,3,0.7697810576701757,0.015221476335160277,0.7523180440093893,0.7802375883364141,3
iid,FedAvg IID,0.8282204217647208,0.0001487273569865132,0.8280574458983997,0.8283488029486096,3,0.6242421445397676,0.004864374854177825,0.6186279861586065,0.6272010854285668,3,0.8121590942861138,0.0005704141276307401,0.8115567534279693,0.8126910490191541,3
